"year","race_key","age_key","ed_key","gender","var1","var2","var3","marital_status","death_type","overall_cause","counts","pop_total","rate"
2009,"AAPI & AI","15-19","Associate",NA,"Race","Age","Education",NA,NA,"DoD",1,NA,NA
2009,"AAPI & AI","15-19","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",1,NA,NA
2009,"AAPI & AI","15-19","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",19,NA,NA
2009,"AAPI & AI","15-19","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",50,NA,NA
2009,"AAPI & AI","15-19","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",63,NA,NA
2009,"AAPI & AI","15-19","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",160,NA,NA
2009,"AAPI & AI","15-19","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",9,NA,NA
2009,"AAPI & AI","15-19","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",31,NA,NA
2009,"AAPI & AI","15-19","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",53,NA,NA
2009,"AAPI & AI","15-19","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",136,NA,NA
2009,"AAPI & AI","20-24","Associate",NA,"Race","Age","Education",NA,NA,"DoD",7,NA,NA
2009,"AAPI & AI","20-24","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",17,NA,NA
2009,"AAPI & AI","20-24","BA",NA,"Race","Age","Education",NA,NA,"DoD",11,NA,NA
2009,"AAPI & AI","20-24","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",43,NA,NA
2009,"AAPI & AI","20-24","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",50,NA,NA
2009,"AAPI & AI","20-24","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",143,NA,NA
2009,"AAPI & AI","20-24","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",28,NA,NA
2009,"AAPI & AI","20-24","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",78,NA,NA
2009,"AAPI & AI","20-24","Masters",NA,"Race","Age","Education",NA,NA,"DoD",1,NA,NA
2009,"AAPI & AI","20-24","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",3,NA,NA
2009,"AAPI & AI","20-24","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",48,NA,NA
2009,"AAPI & AI","20-24","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",101,NA,NA
2009,"AAPI & AI","20-24","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",98,NA,NA
2009,"AAPI & AI","20-24","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",211,NA,NA
2009,"AAPI & AI","25-29","Associate",NA,"Race","Age","Education",NA,NA,"DoD",14,104.7067366399,13370.6774265612
2009,"AAPI & AI","25-29","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",42,104.7067366399,40112.0322796836
2009,"AAPI & AI","25-29","BA",NA,"Race","Age","Education",NA,NA,"DoD",20,2180.25964024447,917.321938673205
2009,"AAPI & AI","25-29","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",65,2180.25964024447,2981.29630068792
2009,"AAPI & AI","25-29","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"DoD",4,20.7167810932861,19308.0188567341
2009,"AAPI & AI","25-29","Doctorate or Professional",NA,"Race","Age","Education",NA,NA,"Not a DoD",6,20.7167810932861,28962.0282851012
2009,"AAPI & AI","25-29","High School degree or GED",NA,"Race","Age","Education",NA,NA,"DoD",51,877.069130452288,5814.82100204579
2009,"AAPI & AI","25-29","High School degree or GED",NA,"Race","Age","Education",NA,NA,"Not a DoD",145,877.069130452288,16532.3342215027
2009,"AAPI & AI","25-29","Less than High School",NA,"Race","Age","Education",NA,NA,"Not a DoD",74,100.070007945561,73948.2303631441
2009,"AAPI & AI","25-29","Less than High School",NA,"Race","Age","Education",NA,NA,"DoD",24,100.070007945561,23983.2098475062
2009,"AAPI & AI","25-29","Masters",NA,"Race","Age","Education",NA,NA,"DoD",6,475.693909244789,1261.31528770793
2009,"AAPI & AI","25-29","Masters",NA,"Race","Age","Education",NA,NA,"Not a DoD",18,475.693909244789,3783.94586312379
2009,"AAPI & AI","25-29","Some College but no degree",NA,"Race","Age","Education",NA,NA,"DoD",30,656.353644229136,4570.70670114645
2009,"AAPI & AI","25-29","Some College but no degree",NA,"Race","Age","Education",NA,NA,"Not a DoD",84,656.353644229136,12797.97876321
2009,"AAPI & AI","25-29","Unknown",NA,"Race","Age","Education",NA,NA,"DoD",81,NA,NA
2009,"AAPI & AI","25-29","Unknown",NA,"Race","Age","Education",NA,NA,"Not a DoD",214,NA,NA
2009,"AAPI & AI","30-34","Associate",NA,"Race","Age","Education",NA,NA,"DoD",8,95.7856111851267,8351.98512701271
2009,"AAPI & AI","30-34","Associate",NA,"Race","Age","Education",NA,NA,"Not a DoD",24,95.7856111851267,25055.9553810381
2009,"AAPI & AI","30-34","BA",NA,"Race","Age","Education",NA,NA,"Not a DoD",59,2313.80652203022,2549.91069643244
